name,location,payment_neto,duration,working_hours,vacancies

TEŽJA FIZIČNA DELA,MARIBOR,10.00 €/h neto,2. IN 3. 11. 2022,DOPOLDAN,2

DELO NA TERENU,LJUBLJANA,5.58 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Unknown

POMOČNIK VZGOJITELJA/VZGOJITELJICE,BREZOVICA,7.18 €/h neto,1 MESEC,POPOLDAN,Unknown

PRODAJA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

ČIŠČENJE,DOMŽALE,7.60 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Unknown

KONTROLA KAKOVOSTI,VRHNIKA,6.30 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

STREŽBA HRANE IN PIJAČE,LJUBLJANA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Unknown

GRAFIČNO OBLIKOVANJE,TRZIN,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

POUČEVANJE,DOMŽALE,10.14 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2

STREŽBA HRANE IN PIJAČE,KAMNIK,7.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2

KNJIGOVODSKA DELA,KOMENDA,6.34 €/h neto,PO DOGOVORU,DOPOLDAN,Unknown

ARHIVSKO DELO,LJUBLJANA,5.21 €/h neto,CCA DO 9. 11. 2022,DOPOLDAN,Unknown

INFORMATIKA,LJUBLJANA,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

STROJNA DELA,RIBNICA,5.21 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,3

POMOČ PRI PRODAJI,MARIBOR,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Unknown

STREŽBA,KRANJ,5.21 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Unknown

ANKETIRANJE,LJUBLJANA,6.08 €/h neto,PO DOGOVORU,DOPOLDAN,4

MONTAŽA,TRZIN,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

DELO V LOTERIJI,MARIBOR,5.21 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Unknown

STREŽBA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,6

PROMOCIJA,LJUBLJANA,5.92 €/h neto,1 MESEC Z MOŽNOSTJO PODALJŠANJA,DOPOLDAN,Unknown

ZDRAVSTVENA NEGA,IZOLA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Unknown

POMOČ PRI PRODAJI,ZARA LJUBLJANA - CENTER,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,10

PRODAJA,LJUBLJANA KOSEZE,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Unknown

ČIŠČENJE,LJUBLJANA VIČ,6.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Unknown

PROMOCIJA,LJUBLJANA,5.92 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,4

POMOČ V TRGOVINI,CELJE,5.21 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Unknown

KONTROLA KAKOVOSTI,ZGORNJI BRNIK,7.60 €/h neto,PO DOGOVORU ,DOPOLDAN,2

POMOČ V TRGOVINI,BOVEC,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,4

DELO V SKLADIŠČU,TRZIN,6.29 €/h neto,2. - 4. 11. 2022,DOPOLDAN,Unknown

NEGOVANJE,ŠMARJEŠKE TOPLICE,5.49 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Unknown

STREŽBA,PORTOROŽ-LUCIJA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Unknown

FIZIČNA DELA,BERSHKA CELJE,8.45 €/h neto,"2X/TEDEN, TOR+ČET, 2-3 URE",PO DOGOVORU,5

TEHNIČNA POMOČ,LJUBLJANA,5.92 €/h neto,PO DOGOVORU,PO DOGOVORU,5

DELO NA RECEPCIJI,LJUBLJANA,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Unknown

GRAFIČNA DELA,LJUBLJANA,9.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,2

ZAHTEVNA ADMINISTRATIVNA DELA,LJUBLJANA,8.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

RAČUNOVODSKA DELA,LJUBLJANA,7.00 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

ASISTENT/KA,LJUBLJANA,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

BLAGAJNIK,LJUBLANA CENTER,6.50 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Unknown

DELO V PROIZVODNJI,LESCE,6.00 €/h neto,PO DOGOVORU,DOPOLDAN,2

DELO V PROIZVODNJI,LESCE,6.76 €/h neto,OD 7. 11. DO 31. 12. 2022,DOPOLDAN,3

DELO NA RECEPCIJI,LJUBLJANA,7.00 €/h neto,"DO 4. 11. 2022, NAPREJ PO DOGOVORU",DOPOLDAN,Unknown

ČIŠČENJE,LJUBLJANA,5.49 €/h neto,PO DOGOVORU,DOPOLDAN,2

ADMINISTRATIVNA DELA,LJUBLJANA,6.34 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Unknown

POMOČ PRI PRODAJI,KRŠKO,6.76 €/h neto,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Unknown

